completion_time,description,paid_in,withdrawn,balance
2023-02-22 17:39:26,Customer Transfer,,-50.0,12545.49
2023-02-22 17:14:22,Airtime Purchase,,-100.0,12595.49
2023-02-22 17:09:13,Customer Transfer,,-6.0,12695.49
2023-02-22 17:09:13,Customer Transfer,,-500.0,12701.49
2023-02-21 18:50:11,Merchant Payment,,-130.0,13201.49
2023-02-21 18:47:28,Merchant Payment,,-100.0,13331.49
2023-02-21 17:21:15,Customer Transfer,,-40.0,13431.49
2023-02-20 19:41:12,Merchant Payment,,-450.0,13471.49
2023-02-20 19:02:52,Merchant Payment,,-160.0,13921.49
2023-02-20 18:33:26,Merchant Payment,,-390.0,14081.49
2023-02-20 16:49:30,Customer Transfer,,-12.0,14471.49
2023-02-20 16:49:30,Customer Transfer,,-1000.0,14483.49
2023-02-20 14:31:15,Customer Transfer,,-6.0,15483.49
2023-02-20 14:31:15,Customer Payment,,-170.0,15489.49
2023-02-20 14:15:25,Airtime Purchase,,-100.0,15659.49
2023-02-20 01:50:52,Customer Transfer,,-6.0,15759.49
2023-02-20 01:50:52,Customer Transfer,,-360.0,15765.49
2023-02-19 18:48:56,Merchant Payment,,-170.0,16125.49
2023-02-19 18:48:15,Customer Transfer,,-12.0,16295.49
2023-02-19 18:48:15,Customer Transfer,,-1000.0,16307.49
2023-02-19 08:52:50,Merchant Payment,,-400.0,17307.49
2023-02-19 07:56:39,Customer Transfer,,-32.0,17707.49
2023-02-19 07:56:39,Customer Transfer,,-2400.0,17739.49
2023-02-19 05:57:03,Merchant Payment,,-1350.0,20139.49
2023-02-19 05:25:38,Customer Transfer,,-12.0,21489.49
2023-02-19 05:25:38,Customer Transfer,,-1000.0,21501.49
2023-02-19 00:53:07,Pay Bill,,-96.0,22501.49
2023-02-19 00:53:07,Pay Bill,,-40000.0,22597.49
2023-02-18 18:58:43,Customer Transfer,,-100.0,62597.49
2023-02-18 18:30:18,Merchant Payment,,-471.0,62697.49
2023-02-18 18:25:16,Merchant Payment,,-2311.0,63168.49
2023-02-18 16:41:23,Customer Transfer,,-6.0,65479.49
2023-02-18 16:41:23,Customer Transfer,,-500.0,65485.49
2023-02-18 16:15:17,Pay Bill,,-4.0,65985.49
2023-02-18 16:15:17,Pay Bill,,-500.0,65989.49
2023-02-18 16:12:31,Merchant Payment,,-40.0,66489.49
2023-02-18 15:11:36,Customer Transfer,,-12.0,66529.49
2023-02-18 15:11:36,Customer Transfer,,-1000.0,66541.49
2023-02-17 23:18:52,Customer Transfer,,-12.0,67541.49
2023-02-17 23:18:52,Customer Transfer,,-650.0,67553.49
2023-02-17 18:06:49,Merchant Payment,,-200.0,68203.49
2023-02-16 19:58:59,Pay Utility,389.0,,68403.49
2023-02-16 18:51:03,Pay Bill,,-4.0,68014.49
2023-02-16 18:51:03,Pay Bill,,-219.0,68018.49
2023-02-16 16:44:02,Pay Bill,,-4.0,68237.49
2023-02-16 16:44:02,Pay Bill,,-389.0,68241.49
2023-02-15 19:16:45,Merchant Payment,,-200.0,68630.49
2023-02-15 16:30:13,Customer Transfer,,-32.0,68830.49
2023-02-15 16:30:13,Customer Transfer,,-2000.0,68862.49
2023-02-15 16:16:46,Customer Transfer,,-12.0,70862.49
2023-02-15 16:16:46,Customer Transfer,,-600.0,70874.49
2023-02-15 01:54:40,Customer Transfer,,-51.0,71474.49
2023-02-15 01:54:40,Customer Transfer,,-3260.0,71525.49
2023-02-14 19:16:31,Customer Transfer,,-22.0,74785.49
2023-02-14 19:16:31,Customer Transfer,,-1500.0,74807.49
2023-02-14 19:13:51,Merchant Payment,,-170.0,76307.49
2023-02-14 18:48:43,Airtime Purchase,,-100.0,76477.49
2023-02-14 18:37:58,Customer Transfer,,-32.0,76577.49
2023-02-14 18:37:58,Customer Transfer,,-1600.0,76609.49
2023-02-14 17:34:06,Airtime Purchase,,-100.0,78209.49
2023-02-14 04:15:45,Pay Bill,,-24.0,78309.49
2023-02-14 04:15:45,Pay Bill,,-3300.0,78333.49
2023-02-14 03:14:13,Pay Bill,,-19.0,81633.49
2023-02-14 03:14:13,Pay Bill,,-2200.0,81652.49
2023-02-13 21:15:58,Airtime Purchase,,-100.0,83852.49
2023-02-13 17:07:21,Customer Transfer,,-55.0,83952.49
2023-02-13 17:07:21,Customer Transfer,,-4500.0,84007.49
2023-02-12 22:31:50,Customer Transfer,,-22.0,88507.49
2023-02-12 22:31:50,Customer Transfer,,-1340.0,88529.49
2023-02-12 22:04:32,Customer Transfer,,-6.0,89869.49
2023-02-12 22:04:32,Customer Transfer,,-200.0,89875.49
2023-02-12 12:57:42,Withdrawal Charge,,-112.0,90075.49
2023-02-12 12:57:42,Customer Withdrawal,,-8000.0,90187.49
2023-02-12 12:51:37,Merchant Payment,,-600.0,98187.49
2023-02-12 12:25:34,Merchant Payment,,-390.0,98787.49
2023-02-12 12:24:12,Merchant Payment,,-390.0,99177.49
2023-02-11 20:35:08,Pay Bill,,-16.0,99567.49
2023-02-11 20:35:08,Pay Bill,,-7274.0,99583.49
2023-02-11 20:29:15,Funds received,7300.0,,106857.49
2023-02-11 19:53:57,Customer Transfer,,-22.0,99557.49
2023-02-11 19:53:57,Customer Transfer,,-1500.0,99579.49
2023-02-11 19:46:11,Customer Transfer,,-12.0,101079.49
2023-02-11 19:46:11,Customer Transfer,,-1000.0,101091.49
2023-02-11 18:38:22,Merchant Payment,,-1280.0,102091.49
2023-02-11 15:53:22,Customer Transfer,,-6.0,103371.49
2023-02-11 15:53:22,Customer Transfer,,-110.0,103377.49
2023-02-11 14:11:38,Business Payment,155.0,,103487.49
2023-02-11 13:25:19,Pay Bill,,-9.0,103332.49
2023-02-11 13:25:19,Pay Bill,,-634.0,103341.49
2023-02-11 06:54:06,Customer Transfer,,-100.0,103975.49
2023-02-11 06:45:25,Merchant Payment,,-260.0,104075.49
2023-02-10 23:13:36,Merchant Payment,,-1450.0,104335.49
2023-02-10 23:08:01,Merchant Payment,,-800.0,105785.49
2023-02-10 22:46:15,Customer Transfer,,-32.0,106585.49
2023-02-10 22:46:15,Customer Transfer,,-2000.0,106617.49
2023-02-10 22:30:23,Merchant Payment,,-600.0,108617.49
2023-02-10 21:28:33,Merchant Payment,,-1430.0,109217.49
2023-02-10 20:46:14,Customer Transfer,,-12.0,110647.49
2023-02-10 20:46:14,Customer Transfer,,-1000.0,110659.49
2023-02-10 20:07:54,Pay Bill,,-49.0,111659.49
2023-02-10 19:30:36,Pay Bill,,-100.0,111708.49
2023-02-10 19:21:14,Merchant Payment,,-700.0,111808.49
2023-02-10 18:40:49,Pay Merchant,,-15.0,112508.49
2023-02-10 18:40:49,Merchant Payment,,-3000.0,112523.49
2023-02-10 17:25:25,Merchant Payment,,-250.0,115523.49
2023-02-10 17:22:11,Merchant Payment,,-600.0,115773.49
2023-02-10 17:17:53,Customer Transfer,,-100.0,116373.49
2023-02-10 17:15:22,Customer Transfer,,-6.0,116473.49
2023-02-10 17:15:22,Customer Transfer,,-300.0,116479.49
2023-02-10 10:32:16,Customer Transfer,,-12.0,116779.49
2023-02-10 10:32:16,Customer Transfer,,-520.0,116791.49
2023-02-09 23:22:08,Customer Transfer,,-12.0,117311.49
2023-02-09 23:22:08,Customer Transfer,,-1000.0,117323.49
2023-02-09 23:17:58,Customer Transfer,,-97.0,118323.49
2023-02-09 23:17:58,Customer Transfer,,-10935.0,118420.49
2023-02-09 23:15:56,Customer Transfer,,-87.0,129355.49
2023-02-09 23:15:56,Customer Transfer,,-10000.0,129442.49
2023-02-09 22:00:56,Customer Transfer,,-32.0,139442.49
2023-02-09 22:00:56,Customer Transfer,,-2000.0,139474.49
2023-02-09 18:48:59,Customer Transfer,,-55.0,141474.49
2023-02-09 18:48:59,Customer Transfer,,-5000.0,141529.49
2023-02-09 18:24:22,Customer Transfer,,-12.0,146529.49
2023-02-09 18:24:22,Customer Transfer,,-1000.0,146541.49
2023-02-09 17:42:27,Merchant Payment,,-200.0,147541.49
2023-02-09 17:05:43,Airtime Purchase,,-100.0,147741.49
2023-02-09 10:47:40,Customer Transfer,,-6.0,147841.49
2023-02-09 10:47:40,Customer Transfer,,-340.0,147847.49
2023-02-09 07:28:08,Merchant Payment,,-3448.0,148187.49
2023-02-09 05:56:32,Customer Transfer,,-6.0,151635.49
2023-02-09 05:56:32,Customer Transfer,,-300.0,151641.49
2023-02-09 05:41:07,Merchant Payment,,-1600.0,151941.49
2023-02-09 04:51:28,Customer Transfer,,-32.0,153541.49
2023-02-09 04:51:28,Customer Transfer,,-2000.0,153573.49
2023-02-09 04:38:32,Merchant Payment,,-2700.0,155573.49
2023-02-09 04:24:47,Merchant Payment,,-800.0,158273.49
2023-02-09 01:20:24,Merchant Payment,,-50.0,159073.49
2023-02-08 20:38:52,Customer Transfer,,-87.0,159123.49
2023-02-08 20:38:52,Customer Transfer,,-8000.0,159210.49
2023-02-08 20:32:49,Customer Transfer,,-97.0,167210.49
2023-02-08 20:32:49,Customer Transfer,,-15000.0,167307.49
2023-02-08 20:24:44,Airtime Purchase,,-200.0,182307.49
2023-02-08 20:03:36,Pay Bill,,-9.0,182507.49
2023-02-08 20:03:36,Pay Bill,,-749.0,182516.49
2023-02-08 19:04:18,Merchant Payment,,-50.0,183265.49
2023-02-08 18:16:24,Customer Transfer,,-12.0,183315.49
2023-02-08 18:16:24,Customer Transfer,,-1000.0,183327.49
2023-02-08 18:10:47,Customer Transfer,,-55.0,184327.49
2023-02-08 18:10:47,Customer Transfer,,-5000.0,184382.49
2023-02-08 17:51:01,Airtime Purchase,,-100.0,189382.49
2023-02-07 18:53:31,Customer Transfer,,-32.0,189482.49
2023-02-07 18:53:31,Customer Transfer,,-2000.0,189514.49
2023-02-07 17:02:31,Customer Transfer,,-6.0,191514.49
2023-02-07 17:02:31,Customer Transfer,,-500.0,191520.49
2023-02-07 15:27:43,Business Payment,58946.0,,192020.49
2023-02-07 15:24:41,Business Payment,132628.0,,133074.49
2023-02-04 14:54:53,Customer Transfer,,-97.0,446.49
2023-02-04 14:54:53,Customer Transfer,,-15000.0,543.49
2023-02-04 12:24:14,Merchant Payment,,-4360.0,15543.49
2023-02-04 10:44:18,Merchant Payment,,-600.0,19903.49
2023-02-04 10:21:00,Customer Transfer,,-32.0,20503.49
2023-02-04 10:21:00,Customer Transfer,,-2000.0,20535.49
2023-02-04 02:56:01,Customer Transfer,,-12.0,22535.49
2023-02-04 02:56:01,Customer Transfer,,-1000.0,22547.49
2023-02-04 02:38:20,Merchant Payment,,-500.0,23547.49
2023-02-04 02:10:06,Customer Transfer,,-12.0,24047.49
2023-02-04 02:10:06,Customer Transfer,,-900.0,24059.49
2023-02-04 01:46:16,Merchant Payment,,-2000.0,24959.49
2023-02-03 21:28:11,Merchant Payment,,-4700.0,26959.49
2023-02-03 21:11:23,Merchant Payment,,-2300.0,31659.49
2023-02-03 20:52:36,Merchant Payment,,-1050.0,33959.49
2023-02-03 19:08:58,Customer Transfer,,-32.0,35009.49
2023-02-03 19:08:58,Customer Transfer,,-1600.0,35041.49
2023-02-03 16:46:18,Merchant Payment,,-1000.0,36641.49
2023-02-03 16:09:17,Business Payment,37613.0,,37641.49
2023-01-31 21:28:12,Merchant Payment,,-1590.0,438.49
2023-01-31 21:26:49,Funds received,1100.0,,2028.49
2023-01-31 21:26:01,Savings Contribution,,-25.0,928.49
2023-01-31 21:26:01,Term Loan,500.0,,953.49
2023-01-31 20:38:37,Customer Transfer,,-12.0,453.49
2023-01-31 20:38:37,Customer Transfer,,-800.0,465.49
2023-01-31 19:32:30,Customer Transfer,,-12.0,1265.49
2023-01-31 19:32:30,Customer Transfer,,-1000.0,1277.49
2023-01-30 23:14:58,Customer Transfer,,-20.0,2277.49
2023-01-30 22:06:47,Customer Transfer,,-6.0,2297.49
2023-01-30 22:06:47,Customer Transfer,,-180.0,2303.49
2023-01-30 19:09:35,Merchant Payment,,-170.0,2483.49
2023-01-29 21:01:46,Customer Transfer,,-45.0,2653.49
2023-01-29 18:40:25,Pay Bill,,-2995.0,2698.49
2023-01-29 15:33:39,Customer Transfer,,-6.0,5693.49
2023-01-29 15:33:39,Customer Transfer,,-300.0,5699.49
2023-01-28 21:08:48,Customer Transfer,,-40.0,5999.49
2023-01-28 18:31:00,Customer Transfer,,-40.0,6039.49
2023-01-28 18:29:20,Merchant Payment,,-180.0,6079.49
2023-01-28 17:52:56,Term Loan,,-501.09,6259.49
2023-01-27 20:12:53,Customer Transfer,,-40.0,6760.58
2023-01-27 18:09:11,Customer Transfer,,-6.0,6800.58
2023-01-27 18:09:11,Customer Transfer,,-165.0,6806.58
2023-01-27 18:03:12,Merchant Payment,,-170.0,6971.58
2023-01-27 10:45:29,Customer Transfer,,-12.0,7141.58
2023-01-27 10:45:29,Customer Transfer,,-650.0,7153.58
2023-01-27 00:23:42,Customer Transfer,,-6.0,7803.58
2023-01-27 00:23:42,Customer Transfer,,-440.0,7809.58
2023-01-26 19:08:00,Merchant Payment,,-170.0,8249.58
2023-01-26 16:19:12,Customer Transfer,,-6.0,8419.58
2023-01-26 16:19:12,Customer Transfer,,-500.0,8425.58
2023-01-25 20:35:50,Merchant Payment,,-639.0,8925.58
2023-01-25 20:16:53,Merchant Payment,,-140.0,9564.58
2023-01-25 19:20:11,Merchant Payment,,-700.0,9704.58
2023-01-25 19:01:30,Merchant Payment,,-1940.0,10404.58
2023-01-24 22:11:44,Merchant Payment,,-2720.0,12344.58
2023-01-24 21:54:59,Customer Transfer,,-50.0,15064.58
2023-01-24 21:16:23,Pay Bill,,-9.0,15114.58
2023-01-24 21:16:23,Pay Bill,,-550.0,15123.58
2023-01-24 21:13:54,Merchant Payment,,-1200.0,15673.58
2023-01-24 20:59:09,Merchant Payment,,-750.0,16873.58
2023-01-24 20:51:57,Merchant Payment,,-250.0,17623.58
2023-01-24 20:02:35,Merchant Payment,,-1650.0,17873.58
2023-01-24 18:50:03,Customer Transfer,,-100.0,19523.58
2023-01-24 18:49:13,Merchant Payment,,-1290.0,19623.58
2023-01-24 18:24:05,Customer Transfer,,-12.0,20913.58
2023-01-24 18:24:05,Customer Transfer,,-1000.0,20925.58
2023-01-24 18:11:44,Customer Transfer,,-32.0,21925.58
2023-01-24 18:11:44,Customer Transfer,,-2100.0,21957.58
2023-01-24 18:07:31,Airtime Purchase,,-200.0,24057.58
2023-01-24 18:02:25,Pay Bill,,-500.0,24257.58
2023-01-24 17:49:36,Pay Bill,,-50.0,24757.58
2023-01-24 17:29:28,Merchant Payment,,-250.0,24807.58
2023-01-24 16:56:04,Customer Transfer,,-100.0,25057.58
2023-01-24 16:12:45,Pay Merchant,,-15.0,25157.58
2023-01-24 16:12:45,Merchant Payment,,-3000.0,25172.58
